tconst,primaryTitle,startYear,genres,averageRating,numVotes
tt7286456,joker,2019,"Crime,Drama,Thriller",8.3,1678237
tt4154796,avengers endgame,2019,"Action,Adventure,Sci-Fi",8.4,1430229
tt4154756,avengers infinity war,2018,"Action,Adventure,Sci-Fi",8.4,1357521
tt1431045,deadpool,2016,"Action,Comedy,Sci-Fi",8.0,1245214
tt6751668,parasite,2019,"Drama,Thriller",8.5,1148225
tt1160419,dune part one,2021,"Action,Adventure,Drama",8.0,1026126
tt15398776,oppenheimer,2023,"Biography,Drama,History",8.2,1008605
tt10872600,spiderman no way home,2021,"Action,Adventure,Fantasy",8.1,1006336
tt7131622,once upon a time in hollywood,2019,"Comedy,Drama",7.6,953358
tt3498820,captain america civil war,2016,"Action,Sci-Fi",7.8,920360
tt3315342,logan,2017,"Action,Drama,Sci-Fi",8.1,919665
tt1877830,the batman,2022,"Action,Crime,Drama",7.8,917592
tt1825683,black panther,2018,"Action,Adventure,Sci-Fi",7.3,903416
tt3501632,thor ragnarok,2017,"Action,Adventure,Comedy",7.9,888010
tt1211837,doctor strange,2016,"Action,Adventure,Fantasy",7.5,873565
tt8946378,knives out,2019,"Comedy,Crime,Drama",7.9,870142
tt2543164,arrival,2016,"Drama,Mystery,Sci-Fi",7.9,855095
tt1745960,top gun maverick,2022,"Action,Drama",8.2,847970
tt3896198,guardians of the galaxy vol 2,2017,"Action,Adventure,Comedy",7.6,823059
tt5052448,get out,2017,"Horror,Mystery,Thriller",7.8,808135
tt5013056,dunkirk,2017,"Action,Drama,History",7.8,801601
tt2250912,spiderman homecoming,2017,"Action,Adventure,Sci-Fi",7.4,789428
tt2975590,batman v superman dawn of justice,2016,"Action,Adventure,Sci-Fi",6.4,788583
tt4633694,spiderman into the spiderverse,2018,"Action,Adventure,Animation",8.4,778853
tt8579674,1917,2019,"Action,Drama,War",8.2,763973
tt1386697,suicide squad,2016,"Action,Adventure,Fantasy",5.9,756580
tt3783958,la la land,2016,"Comedy,Drama,Music",8.0,753422
tt3748528,rogue one a star wars story,2016,"Action,Adventure,Sci-Fi",7.8,750424
tt1856101,blade runner 2049,2017,"Action,Drama,Mystery",8.0,746296
tt5463162,deadpool 2,2018,"Action,Adventure,Comedy",7.6,739347
tt0451279,wonder woman,2017,"Action,Adventure,Fantasy",7.3,732975
tt15239678,dune part two,2024,"Action,Adventure,Drama",8.4,720416
tt2527336,star wars episode viii  the last jedi,2017,"Action,Adventure,Fantasy",6.8,714410
tt2380307,coco,2017,"Adventure,Animation,Drama",8.4,697984
tt1396484,it,2017,Horror,7.3,689818
tt6723592,tenet,2020,"Action,Sci-Fi,Thriller",7.3,679080
tt3890160,baby driver,2017,"Action,Crime,Drama",7.5,678292
