Category,Year,Film,FilmId
ACTOR IN A LEADING ROLE,2016,Manchester by the Sea,tt4034228
ACTOR IN A LEADING ROLE,2016,Hacksaw Ridge,tt2119532
ACTOR IN A LEADING ROLE,2016,La La Land,tt3783958
ACTOR IN A LEADING ROLE,2016,Captain Fantastic,tt3553976
ACTOR IN A LEADING ROLE,2016,Fences,tt2671706
ACTOR IN A SUPPORTING ROLE,2016,Moonlight,tt4975722
ACTOR IN A SUPPORTING ROLE,2016,Hell or High Water,tt2582782
ACTOR IN A SUPPORTING ROLE,2016,Lion,tt3741834
ACTOR IN A SUPPORTING ROLE,2016,Nocturnal Animals,tt4550098
ACTRESS IN A LEADING ROLE,2016,Elle,tt3716530
ACTRESS IN A LEADING ROLE,2016,Loving,tt4669986
ACTRESS IN A LEADING ROLE,2016,Jackie,tt1619029
ACTRESS IN A LEADING ROLE,2016,Florence Foster Jenkins,tt4136084
ACTRESS IN A SUPPORTING ROLE,2016,Hidden Figures,tt4846340
ANIMATED FEATURE FILM,2016,Kubo and the Two Strings,tt4302938
ANIMATED FEATURE FILM,2016,Moana,tt3521164
ANIMATED FEATURE FILM,2016,My Life as a Zucchini,tt2321405
ANIMATED FEATURE FILM,2016,The Red Turtle,tt3666024
ANIMATED FEATURE FILM,2016,Zootopia,tt2948356
CINEMATOGRAPHY,2016,Arrival,tt2543164
CINEMATOGRAPHY,2016,Silence,tt0490215
COSTUME DESIGN,2016,Allied,tt3640424
COSTUME DESIGN,2016,Fantastic Beasts and Where to Find Them,tt3183660
DOCUMENTARY (Feature),2016,Fire at Sea,tt3652526
DOCUMENTARY (Feature),2016,I Am Not Your Negro,tt5804038
DOCUMENTARY (Feature),2016,"Life, Animated",tt3917210
DOCUMENTARY (Feature),2016,O.J.: Made in America,tt5275892
DOCUMENTARY (Feature),2016,13th,tt5895028
DOCUMENTARY (Short Subject),2016,Extremis,tt5538078
DOCUMENTARY (Short Subject),2016,4.1 Miles,tt6279726
DOCUMENTARY (Short Subject),2016,Joe's Violin,tt5639178
DOCUMENTARY (Short Subject),2016,Watani: My Homeland,tt6195494
DOCUMENTARY (Short Subject),2016,The White Helmets,tt6073176
FOREIGN LANGUAGE FILM,2016,Land of Mine,tt3841424
FOREIGN LANGUAGE FILM,2016,A Man Called Ove,tt4080728
FOREIGN LANGUAGE FILM,2016,The Salesman,tt5186714
FOREIGN LANGUAGE FILM,2016,Tanna,tt4239726
FOREIGN LANGUAGE FILM,2016,Toni Erdmann,tt4048272
MAKEUP AND HAIRSTYLING,2016,Star Trek Beyond,tt2660888
MAKEUP AND HAIRSTYLING,2016,Suicide Squad,tt1386697
MUSIC (Original Score),2016,Passengers,tt1355644
MUSIC (Original Song),2016,Trolls,tt1679335
MUSIC (Original Song),2016,Jim: The James Foley Story,tt5278466
PRODUCTION DESIGN,2016,"Hail, Caesar!",tt0475290
SHORT FILM (Animated),2016,Blind Vaysha,tt5559726
SHORT FILM (Animated),2016,Borrowed Time,tt4874696
SHORT FILM (Animated),2016,Pear Cider and Cigarettes,tt5358978
SHORT FILM (Animated),2016,Pearl,tt5599918
SHORT FILM (Animated),2016,Piper,tt5613056
SHORT FILM (Live Action),2016,Ennemis Intérieurs,tt5467670
SHORT FILM (Live Action),2016,La Femme et le TGV,tt4661660
SHORT FILM (Live Action),2016,Silent Nights,tt6460636
SHORT FILM (Live Action),2016,Sing,tt4571288
SHORT FILM (Live Action),2016,Timecode,tt5699202
SOUND EDITING,2016,Deepwater Horizon,tt1860357
SOUND EDITING,2016,Sully,tt3263904
SOUND MIXING,2016,Rogue One: A Star Wars Story,tt3748528
SOUND MIXING,2016,13 Hours: The Secret Soldiers of Benghazi,tt4172430
VISUAL EFFECTS,2016,Doctor Strange,tt1211837
VISUAL EFFECTS,2016,The Jungle Book,tt3040964
WRITING (Original Screenplay),2016,The Lobster,tt3464902
WRITING (Original Screenplay),2016,20th Century Women,tt4385888
ACTOR IN A LEADING ROLE,2017,Call Me by Your Name,tt5726616
ACTOR IN A LEADING ROLE,2017,Phantom Thread,tt5776858
ACTOR IN A LEADING ROLE,2017,Get Out,tt5052448
ACTOR IN A LEADING ROLE,2017,Darkest Hour,tt4555426
ACTOR IN A LEADING ROLE,2017,"Roman J. Israel, Esq.",tt6000478
ACTOR IN A SUPPORTING ROLE,2017,The Florida Project,tt5649144
ACTOR IN A SUPPORTING ROLE,2017,"Three Billboards outside Ebbing, Missouri",tt5027774
ACTOR IN A SUPPORTING ROLE,2017,The Shape of Water,tt5580390
ACTOR IN A SUPPORTING ROLE,2017,All the Money in the World,tt5294550
ACTRESS IN A LEADING ROLE,2017,"I, Tonya",tt5580036
ACTRESS IN A LEADING ROLE,2017,Lady Bird,tt4925292
ACTRESS IN A LEADING ROLE,2017,The Post,tt6294822
ACTRESS IN A SUPPORTING ROLE,2017,Mudbound,tt2396589
ANIMATED FEATURE FILM,2017,The Boss Baby,tt3874544
ANIMATED FEATURE FILM,2017,The Breadwinner,tt3901826
ANIMATED FEATURE FILM,2017,Coco,tt2380307
ANIMATED FEATURE FILM,2017,Ferdinand,tt3411444
