title,year,audience_score,critics_score
war of the worlds,2025,2.0,0.4
war machine,2017,3.5,4.8
war sailor,2022,9.2,8.0
the current war,2019,7.2,3.3
munich,2021,7.8,8.3
the great war,2019,3.1,1.7
war dogs,2016,6.9,6.2
the lord of the rings,2024,8.1,4.9
woman at war,2018,8.5,9.7
primitive war,2025,8.5,5.6
baltimore aka roses war,2023,3.9,8.8
god of war,2017,5.2,8.3
avengers,2018,9.2,8.5
justice league dark,2020,9.0,10.0
war on everyone,2016,3.8,6.1
a private war,2018,6.3,8.7
boudica,2023,1.3,4.3
captain america,2016,8.9,9.0
the tomorrow war,2021,7.6,5.1
war 2,2025,6.6,2.7
ghosts of war,2020,6.3,3.8
the ministry of ungentlemanly warfare,2024,9.1,6.8
the war with grandpa,2020,8.5,2.9
words of war,2025,9.0,7.5
war,2019,8.0,6.7
warfare,2025,9.3,9.2
civil war,2024,6.9,8.1
cold war,2018,8.2,9.2
war for the planet of the apes,2017,8.4,9.4
war pony,2022,8.2,9.3
the huntsman,2016,4.5,2.0
war and justice,2023,7.8,8.3
the war below,2021,7.1,8.8
justice society,2021,7.2,7.6
two who dared,2016,7.2,10.0
the current war,2019,7.9,6.1
porcelain war,2024,9.4,9.6
war game,2024,6.2,8.0
the silent war,2018,2.4,5.6
the coming war on china,2016,4.2,8.8
kill chain,2020,9.6,10.0
memoir of war,2017,5.2,6.7
bennetts war,2019,8.2,5.0
cold war 2,2016,5.7,6.0
the war show,2016,9.0,10.0
at war,2018,8.8,6.9
day of the fight,2023,9.4,8.5
day shift,2022,7.6,5.7
the day the earth blew up,2024,8.8,8.5
mothers day,2023,3.6,5.0
independence day,2016,3.0,2.8
365 days,2022,4.3,0.0
1987,2017,6.5,8.2
yes day,2021,5.5,5.2
a rainy day in new york,2019,5.6,4.7
flag day,2021,4.7,4.0
long days journey into night,2018,6.7,9.5
sicario,2018,6.6,6.2
your lucky day,2023,5.5,9.0
tremors,2018,2.7,4.0
all day and a night,2020,5.9,5.4
happy death day 2u,2019,6.0,7.3
happy death day,2017,6.7,7.1
founders day,2023,1.2,5.0
every day,2018,5.4,6.4
a beautiful day in the neighborhood,2019,9.2,9.5
girlfriends day,2017,3.7,5.0
patriots day,2016,8.6,8.0
day of the dead,2018,1.0,1.1
a quiet place,2024,7.2,8.6
mothers day,2016,4.4,0.8
a day,2017,7.4,10.0
the happiest day in the life of olli mki,2016,7.6,9.8
michael boltons big sexy valentines day special,2017,6.0,10.0
australia day,2017,4.9,5.0
suga,2023,9.3,8.0
a day and a half,2023,5.6,8.3
boxing day,2021,8.6,8.3
another day of life,2018,8.9,8.9
at the end of the day,2018,7.2,10.0
bad day for the cut,2017,7.4,9.2
a white white day,2019,6.8,9.4
on the seventh day,2017,6.2,10.0
the day the music died,2022,7.1,7.0
redemption day,2021,4.9,1.4
one day as a lion,2023,4.7,6.0
the seventh day,2021,1.7,1.3
lucky day,2019,4.1,0.9
the day shall come,2019,5.1,6.5
planet earth,2017,8.9,10.0
the day after,2017,6.7,7.9
on the 3rd day,2021,3.8,3.8
marathon,2016,8.3,9.0
the day sports stood still,2021,6.7,8.0
the pay day,2022,9.5,6.0
have a nice day,2017,6.4,7.8
tiny tim,2020,6.2,8.5
one week and a day,2016,7.6,9.0
lover for a day,2017,4.1,8.2
liberation day,2016,10.0,6.7
after the hunt,2025,3.8,3.8
the home,2025,5.8,3.0
the elixir,2025,2.7,7.0
the hand that rocks the cradle,2025,2.7,4.4
the astronaut,2025,6.6,3.9
the twits,2025,5.2,5.2
under the shadow,2016,7.1,9.9
the perfect neighbor,2025,7.9,9.9
the lost bus,2025,9.4,8.7
the wailing,2016,8.2,9.9
the deliverance,2024,3.9,3.4
the thursday murder club,2025,5.3,7.7
the ritual,2017,6.3,7.4
the unholy trinity,2024,6.6,4.0
the ugly stepsister,2025,8.7,9.6
the woman in the yard,2025,4.6,4.1
the senior,2023,9.3,7.9
the strangers,2025,5.5,1.4
the mastermind,2025,3.7,9.2
the history of sound,2025,9.0,6.8
watch the skies,2022,7.3,7.8
chainsaw man  the movie,2025,9.8,9.7
the substance,2024,7.6,8.9
