title,year,audience_score,critics_score,imdb_id,relaxed_title
war of the worlds,2025,2.0,0.4,tt13186306,war of the worlds
war machine,2017,3.5,4.8,tt4758646,war machine
war sailor,2022,9.2,8.0,tt17633184,war sailor
the current war,2019,7.2,3.3,,current war
munich,2021,7.8,8.3,,munich
the great war,2019,3.1,1.7,,great war
war dogs,2016,6.9,6.2,tt2005151,war dogs
the lord of the rings,2024,8.1,4.9,,lord of the rings
woman at war,2018,8.5,9.7,tt7279188,woman at war
primitive war,2025,8.5,5.6,tt18312380,primitive war
baltimore aka roses war,2023,3.9,8.8,,baltimore aka roses war
god of war,2017,5.2,8.3,tt6083388,god of war
avengers,2018,9.2,8.5,,avengers
justice league dark,2020,9.0,10.0,,justice league dark
war on everyone,2016,3.8,6.1,tt3708886,war on everyone
a private war,2018,6.3,8.7,tt2368254,private war
boudica,2023,1.3,4.3,,boudica
captain america,2016,8.9,9.0,,captain america
the tomorrow war,2021,7.6,5.1,tt9777666,tomorrow war
war 2,2025,6.6,2.7,tt27425164,war 2
ghosts of war,2020,6.3,3.8,tt6508228,ghosts of war
the ministry of ungentlemanly warfare,2024,9.1,6.8,tt5177120,ministry of ungentlemanly warfare
the war with grandpa,2020,8.5,2.9,tt4532038,war with grandpa
words of war,2025,9.0,7.5,,words of war
war,2019,8.0,6.7,tt7430722,war
warfare,2025,9.3,9.2,tt31434639,warfare
civil war,2024,6.9,8.1,tt17279496,civil war
cold war,2018,8.2,9.2,tt6543652,cold war
war for the planet of the apes,2017,8.4,9.4,tt3450958,war for the planet of the apes
war pony,2022,8.2,9.3,tt16227002,war pony
the huntsman,2016,4.5,2.0,,huntsman
war and justice,2023,7.8,8.3,,war and justice
the war below,2021,7.1,8.8,tt10381014,war below
justice society,2021,7.2,7.6,,justice society
two who dared,2016,7.2,10.0,,two who dared
the current war,2019,7.9,6.1,,current war
porcelain war,2024,9.4,9.6,,porcelain war
war game,2024,6.2,8.0,,war game
the silent war,2018,2.4,5.6,,silent war
the coming war on china,2016,4.2,8.8,,coming war on china
kill chain,2020,9.6,10.0,tt8535180,kill chain
memoir of war,2017,5.2,6.7,,memoir of war
bennetts war,2019,8.2,5.0,,bennetts war
cold war 2,2016,5.7,6.0,tt5112622,cold war 2
the war show,2016,9.0,10.0,,war show
at war,2018,8.8,6.9,tt7555774,at war
day of the fight,2023,9.4,8.5,,day of the fight
day shift,2022,7.6,5.7,tt13314558,day shift
the day the earth blew up,2024,8.8,8.5,,day the earth blew up
mothers day,2023,3.6,5.0,tt19724192,mothers day
independence day,2016,3.0,2.8,,independence day
365 days,2022,4.3,0.0,,365 days
1987,2017,6.5,8.2,,1987
yes day,2021,5.5,5.2,tt8521876,yes day
a rainy day in new york,2019,5.6,4.7,tt7139936,rainy day in new york
flag day,2021,4.7,4.0,tt2304637,flag day
long days journey into night,2018,6.7,9.5,tt8185182,long days journey into night
sicario,2018,6.6,6.2,,sicario
your lucky day,2023,5.5,9.0,tt16424988,your lucky day
tremors,2018,2.7,4.0,,tremors
all day and a night,2020,5.9,5.4,tt3993886,all day and a night
happy death day 2u,2019,6.0,7.3,tt8155288,happy death day 2u
happy death day,2017,6.7,7.1,tt5308322,happy death day
founders day,2023,1.2,5.0,tt23785128,founders day
every day,2018,5.4,6.4,tt7026672,every day
a beautiful day in the neighborhood,2019,9.2,9.5,tt3224458,beautiful day in the neighborhood
girlfriends day,2017,3.7,5.0,tt2962984,girlfriends day
patriots day,2016,8.6,8.0,tt4572514,patriots day
day of the dead,2018,1.0,1.1,,day of the dead
a quiet place,2024,7.2,8.6,,quiet place
mothers day,2016,4.4,0.8,tt4824302,mothers day
a day,2017,7.4,10.0,tt6890376,day
the happiest day in the life of olli mki,2016,7.6,9.8,tt4771932,happiest day in the life of olli mki
