title,year,audience_score,critics_score,imdb_id,relaxed_title
the current war,2019,7.2,3.3,,current war
munich,2021,7.8,8.3,,munich
the great war,2019,3.1,1.7,,great war
the lord of the rings,2024,8.1,4.9,,lord of the rings
baltimore aka roses war,2023,3.9,8.8,,baltimore aka roses war
avengers,2018,9.2,8.5,,avengers
justice league dark,2020,9.0,10.0,,justice league dark
boudica,2023,1.3,4.3,,boudica
captain america,2016,8.9,9.0,,captain america
words of war,2025,9.0,7.5,,words of war
the huntsman,2016,4.5,2.0,,huntsman
war and justice,2023,7.8,8.3,,war and justice
justice society,2021,7.2,7.6,,justice society
two who dared,2016,7.2,10.0,,two who dared
the current war,2019,7.9,6.1,,current war
porcelain war,2024,9.4,9.6,,porcelain war
war game,2024,6.2,8.0,,war game
the silent war,2018,2.4,5.6,,silent war
the coming war on china,2016,4.2,8.8,,coming war on china
memoir of war,2017,5.2,6.7,,memoir of war
bennetts war,2019,8.2,5.0,,bennetts war
the war show,2016,9.0,10.0,,war show
day of the fight,2023,9.4,8.5,,day of the fight
the day the earth blew up,2024,8.8,8.5,,day the earth blew up
independence day,2016,3.0,2.8,,independence day
365 days,2022,4.3,0.0,,365 days
1987,2017,6.5,8.2,,1987
sicario,2018,6.6,6.2,,sicario
tremors,2018,2.7,4.0,,tremors
day of the dead,2018,1.0,1.1,,day of the dead
a quiet place,2024,7.2,8.6,,quiet place
michael boltons big sexy valentines day special,2017,6.0,10.0,,michael boltons big sexy valentines day special
australia day,2017,4.9,5.0,,australia day
suga,2023,9.3,8.0,,suga
boxing day,2021,8.6,8.3,,boxing day
at the end of the day,2018,7.2,10.0,,at the end of the day
on the seventh day,2017,6.2,10.0,,on the seventh day
the day the music died,2022,7.1,7.0,,day the music died
planet earth,2017,8.9,10.0,,planet earth
on the 3rd day,2021,3.8,3.8,,on the 3rd day
marathon,2016,8.3,9.0,,marathon
the day sports stood still,2021,6.7,8.0,,day sports stood still
the pay day,2022,9.5,6.0,,pay day
